h3,city,no_vehicle,buildings,lat,lon
892a3066363ffff,Boston,1447.6901159416398,35,42.345109529116144,-71.08927730297627
892a30660a3ffff,Boston,1115.8557354533582,121,42.36633580194957,-71.05318473897394
892a3076ebbffff,Lynn,996.6529390302003,12,42.4631811450209,-70.94380647917039
892a30660afffff,Boston,972.8216385152754,118,42.36393239925086,-71.05583487086335
892a306614bffff,Boston,951.6418889095316,6,42.35261512018109,-71.06389253141352
892a306466fffff,Boston,904.1177508044083,13,42.34124753385833,-71.15365978375752
892a30660abffff,Boston,885.0823033962059,143,42.36615423281241,-71.05689409380615
892a306602bffff,Boston,849.1965183451164,74,42.360133261142884,-71.06679529447003
892a306633bffff,Boston,801.0186192107482,76,42.34455085876588,-71.07939929747893
892a30640c3ffff,Brookline,768.5438681139929,19,42.33965835201057,-71.12908805219031
892a306632fffff,Boston,766.2326622515765,36,42.33954849989431,-71.08037776087326
892a30645dbffff,Boston,755.0529830590566,27,42.34232341533448,-71.0995996147558
892a306650bffff,Boston,709.2753394730009,12,42.3687024992015,-71.0378686866532
892a306603bffff,Boston,703.1687289945671,7,42.363742605705866,-71.06463181954192
892a306602fffff,Boston,681.2505895667225,69,42.35873341088432,-71.06506738927843
892a306632bffff,Boston,631.1173754313119,38,42.342231391060956,-71.08301975395757
892a30663a7ffff,Boston,625.9401368560214,75,42.344153609610345,-71.06847482198866
892a30644a7ffff,Boston,613.4217763292518,24,42.3439986665422,-71.09717774880791
892a3066033ffff,Boston,600.623419730301,3,42.36418390103625,-71.05990934227759
892a3066eb3ffff,Boston,599.334100802071,19,42.33187770004583,-71.05290264770328
892a3066337ffff,Boston,591.9603574585757,209,42.34275506615657,-71.07361084570212
892a30646abffff,Boston,586.8315454529819,80,42.34747898323941,-71.1356850945123
892a306600fffff,Boston,581.2986309464089,5,42.36556657209629,-71.0665943463924
892a306462bffff,Boston,565.123667618211,28,42.34204173030089,-71.14376110639763
892a306624bffff,Cambridge,562.7340996342348,72,42.37172708175197,-71.11051673665364
892a306636fffff,Boston,556.7634166444075,33,42.34219817873267,-71.09057742243132
892a3066347ffff,Boston,538.7593171027236,100,42.3504352929204,-71.08901763331491
892a30646bbffff,Boston,534.936462049028,111,42.35023045838588,-71.1335235945116
892a3066e5bffff,Boston,523.9152908206659,40,42.33704988354857,-71.07845021380945
